Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
MICROFLUIDIC DEVICES FOR CANCER SCREENING BY N-GLYCAN ANALYSIS,NIGMS,9025568,5R01GM106084-03,5,R01,GM,106084,3,,,7936197,"JACOBSON, STEPHEN C",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,298329,
MICROFLUIDIC DEVICES FOR STUDYING THE DEVELOPMENT AND AGING OF BACTERIA,NIGMS,9106652,1R01GM113121-01A1,1,R01,GM,113121,1,A1,,7936197,"JACOBSON, STEPHEN C",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,275653,
IGF-MEDIATED SURVIVAL AND PROLIFERATION IN INFLAMED PROSTATE,NIDDK,9040157,4K01DK092366-05,4,K01,DK,92366,5,,,8627259,"JERDE, TRAVIS J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,118335,
A SYNCHRONIZED MOVING GRID (SMOG) SYSTEM TO IMPROVE CBCT FOR IGRT AND ART,NCI,9278397,7R01CA166948-06,7,R01,CA,166948,6,,,9182182,"JIN, JIAN-YUE ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,219118,
HOMEOSTATIC PLASTICITY IN THE CONTROL OF NEUROPATHIC PAIN,NIDA,9236814,3R01DA039530-03S1,3,R01,DA,39530,3,S1,,8630760,"JIN, XIAOMING ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,100000,
HOMEOSTATIC PLASTICITY IN THE CONTROL OF NEUROPATHIC PAIN,NIDA,9120831,5R01DA039530-03,5,R01,DA,39530,3,,,8630760,"JIN, XIAOMING ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,308880,
PROPHYLAXIS AGAINST MALARIA TO ENHANCE CHILD DEVELOPMENT,NICHD,9007293,1R01HD086124-01,1,R01,HD,86124,1,,,12560538,"JOHN, CHANDY C. ","BANGIRANA, PAUL ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,404017,
NEURODEVELOPMENTAL OUTCOMES IN CHILDREN WITH SEVERE MALARIA,NINDS,9111075,5R01NS055349-08,5,R01,NS,55349,8,,,12560538,"JOHN, CHANDY C.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,553469,
HYPOTHALAMIC OREXIN ROLE IN MENOPAUSE-ASSOCIATED HOT FLASHES AND MOOD/SLEEP DISRU,NIA,9067205,4K01AG044466-04,4,K01,AG,44466,4,,,9779881,"JOHNSON, PHILIP LEE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,116806,
IMMUNE REGULATION OF NEURONAL INJURY AND REPAIR,NINDS,8989571,4R01NS040433-14,4,R01,NS,40433,14,,,1872725,"JONES, KATHRYN JANE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,463254,
THROMBOPOIETIN:  A NOVEL REGULATOR OF BONE HEALING,NIAMS,9088348,4R01AR060863-05,4,R01,AR,60863,5,,,6677047,"KACENA, MELISSA A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,351000,
ALLERGIC INFLAMMATION AND TRANSCRIPTIONAL REGULATION IN TH9 CELLS,NIAID,9026887,2R01AI057459-11A1,2,R01,AI,57459,11,A1,,6950088,"KAPLAN, MARK H.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,463320,
IMMUNOLOGY AND INFECTIOUS DISEASES,NIAID,9067201,5T32AI060519-13,5,T32,AI,60519,13,,,6950088,"KAPLAN, MARK H.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,211651,
CYTOKINE REGULATION OF SKIN BARRIER FUNCTION,NIAID,8996670,4R01AI095282-05,4,R01,AI,95282,5,,,6950088,"KAPLAN, MARK H.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
GRANZYME A-SECRETING T CELLS IN ALLERGIC INFLAMMATION,NIAID,9111824,5R21AI117380-02,5,R21,AI,117380,2,,,6950088,"KAPLAN, MARK H.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,234000,
REGULATION OF HUMORAL IMMUNITY BY TOX,NIAID,9089951,5R03AI119623-02,5,R03,AI,119623,2,,,6950088,"KAPLAN, MARK H.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,78000,
ROLE OF P21 ACTIVATED KINASE IN LEUKEMOGENESIS,NCI,9063106,5R01CA173852-03,5,R01,CA,173852,3,,,2095806,"KAPUR, REUBEN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,323700,
NOVEL MECHANISMS OF C-KIT REGULATION IN MAST CELLS,NHLBI,9054891,4R01HL077177-08,4,R01,HL,77177,8,,,2095806,"KAPUR, REUBEN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,390000,
BRAIN REWARD RESPONSES TO SWEET TASTES IN ALCOHOLISM RISK,NIAAA,9056953,5R01AA022476-03,5,R01,AA,22476,3,,,1906896,"KAREKEN, DAVID A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,589938,
ALCOHOL-SEEKING BEHAVIORS AND DOPAMINERGIC FUNCTION,NIAAA,9171525,1R01AA024588-01A1,1,R01,AA,24588,1,A1,,1906896,"KAREKEN, DAVID A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,563529,
STRUCTURAL HOMEOSTASIS AND THE ASSEMBLY OF A BACTERIAL NANOMACHINE,NIGMS,9098739,5R01GM093030-07,5,R01,GM,93030,7,,,8670257,"KEARNS, DANIEL B",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,302658,
NOVEL ROLE OF REF-1 IN PANCREATIC CANCER ETIOLOGY AND PROGRESSION,NCI,8976832,4R01CA167291-04,4,R01,CA,167291,4,,,1899304,"KELLEY, MARK R. ","FISHEL, MELISSA L",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,493963,
COMMON THEMES IN REPRODUCTIVE DIVERSITY,NICHD,9072922,2T32HD049336-11A1,2,T32,HD,49336,11,A1,,7722048,"KETTERSON, ELLEN D",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,242879,
DELIRIUM BIOMARKERS IN THE INTENSIVE CARE UNIT,NIA,9067203,4K23AG043476-05,4,K23,AG,43476,5,,,10302877,"KHAN, BABAR A",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,123507,
UNDERSTANDING SPEECH IN NOISE_THE ROLES OF AGING AND ATTENTIONAL ENTRAINMENT,NIDCD,9086334,5R01DC013538-03,5,R01,DC,13538,3,,,1874423,"KIDD, GARY R ","MCAULEY, J. DEVIN ",INDIANA UNIVERSITY BLOOMINGTON, ,2016,320684,
UNDERSTANDING THE ORIGIN;INITIATION;AND PROGRESSION OF HIGH-GRADE SEROUS OVARIAN CANCER,NCI,9182056,4R00CA179137-03,4,R00,CA,179137,3,,,10353648,"KIM, JAEYEON ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,248999,
DEFINING THE ROLE OF AMOT LIPID BINDING IN CELLULAR PROLIFERATION AND MIGRATION,NCI,9120812,4K01CA169078-05,4,K01,CA,169078,5,,,10343402,"KIMBLE-HILL, ANN CAROL",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,96724,
THE INDIANA EMERGENCY CARE RESEARCH (INDIANA EMCARE) TRAINING PROGRAM AT INDIANA UNIVERSITY SCHOOL OFMEDICINE (IUSM),NHLBI,9162924,1K12HL133310-01,1,K12,HL,133310,1,,,7072614,"KLINE, JEFFREY A ","KROENKE, KURT ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,51975,
MODELING OTIC NEUROGENESIS IN HUMAN STEM CELL-DERIVED ORGANOIDS,NIDCD,9172336,1R03DC015624-01,1,R03,DC,15624,1,,,10459915,"KOEHLER, KARL RUSSELL",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,156000,
DYSREGULATION OF TGF BETA ACTION PANCREATIC CANCER,NCI,9246671,3R01CA075059-18S1,3,R01,CA,75059,18,S1,,1891585,"KORC, MURRAY ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,58398,
DYSREGULATION OF TGF BETA ACTION PANCREATIC CANCER,NCI,9055647,5R01CA075059-18,5,R01,CA,75059,18,,,1891585,"KORC, MURRAY ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,441940,
REPRESSION OF NON-OCULAR FATES BY THE SIX AND EYA GENES DURING SPECIFICATION AND PATTERNING OF THE RETINA,NEI,9135417,5R01EY014863-11,5,R01,EY,14863,11,,,1868002,"KUMAR, JUSTIN P",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,390625,
A NOVEL BACTERIAL PROTEASE AND ITS INVOLVEMENT IN WOUND INFECTION,NIAMS,9110119,5R03AR068724-02,5,R03,AR,68724,2,,,10981205,"KUSMIERCZYK, ANDREW R ","ANDERSON, GREGORY G",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,76079,
TIMING AND REGULATION OF MEIOTIC COMMITMENT IN S CEREVISIAE,NIGMS,9102177,5R01GM105755-03,5,R01,GM,105755,3,,,9910957,"LACEFIELD, SONI ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,295781,
ADMINISTRATIVE SUPPLEMENT: NEUROBIOLOGICAL ROLE OF MICRORNA IN ALZHEIMER'S,NIA,9321507,3R01AG051086-02S1,3,R01,AG,51086,2,S1,,1866749,"LAHIRI, DEBOMOY K",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,155762,
NEUROBIOLOGICAL ROLE OF MICRORNA IN ALZHEIMER'S,NIA,9134034,5R01AG051086-02,5,R01,AG,51086,2,,,1866749,"LAHIRI, DEBOMOY K",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,319743,
PROTEIN TYROSINE PHOSPHATASE SHP2 AND NEONATAL CARDIAC INNERVATION,NHLBI,8970716,4F30HL116106-03,4,F30,HL,116106,3,,,11162827,"LAJINESS, JACQUELYN D",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,34240,
DELIRIUM EVALUATION IN THE EMERGENCY DEPARTMENT FOR SENIORS (DEEDS),NIA,9042914,5K23AG043498-03,5,K23,AG,43498,3,,,11263620,"LAMANTIA, MICHAEL ANDREW",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,123159,
THE IU/JAX ALZHEIMER'S DISEASE PRECISION MODELS CENTER,NIA,9205077,1U54AG054345-01,1,U54,AG,54345,1,,,1865266,"LAMB, BRUCE T ","CARTER, GREGORY W;HOWELL, GARETH R;TERRITO, PAUL RICHARD",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,5000000,
FUNCTIONAL SIGNIFICANCE OF AMYLOID DYNAMICS AND DEPOSITION IN THE AD BRAIN,NIA,9402306,7R01AG043522-05,7,R01,AG,43522,5,,,1906026,"LANDRETH, GARY E.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,211122,
ACTIONS OF NUCLEAR RECEPTORS ON TREM2+ MYELOID CELLS AND MICROGLIA IN AD BRAIN,NIA,9416662,7RF1AG050597-02,7,RF1,AG,50597,2,,,1906026,"LANDRETH, GARY E.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,1649492,
PREFRONTAL CORTEX REGULATION OF ETHANOL-REINFORCED BEHAVIOR,NIAAA,9054741,5R01AA023786-02,5,R01,AA,23786,2,,,10821892,"LAPISH, CHRISTOPHER COURT",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,340806,
INTERPLAY BETWEEN PROKARYOTIC ORGANELLE DYNAMICS AND CELL PHYSIOLOGY,NIGMS,8954977,5F32GM112377-02,5,F32,GM,112377,2,,,12041563,"LASARRE, BREAH ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,56118,
VITAMIN D AS SUPPLEMENTAL THERAPY FOR PNEUMOCYSTIS PNEUMONIA,NIAID,9063354,1R21AI122837-01,1,R21,AI,122837,1,,,1873361,"LEE, CHAO-HUNG ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,234000,
STANDARDIZED VERSUS TAILORED IMPLEMENTATION OF MEASUREMENT BASED CARE FOR DEPRESSION,NIMH,9252116,3R01MH103310-03S1,3,R01,MH,103310,3,S1,,11761120,"LEWIS, CARA CHARISSA",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,202063,
STANDARDIZED VERSUS TAILORED IMPLEMENTATION OF MEASUREMENT BASED CARE FOR DEPRESSION,NIMH,9109043,5R01MH103310-03,5,R01,MH,103310,3,,,11761120,"LEWIS, CARA CHARISSA",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,485970,
A TRANSLATIONAL BIOINFORMATICS APPROACH IN THE DRUG INTERACTION RESEARCH,NIGMS,9085317,5R01GM104483-03,5,R01,GM,104483,3,,,8050089,"LI, LANG ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,469971,
EVIDENCE-BASED DRUG-INTERACTION DISCOVERY: IN-VIVO; IN-VITRO AND CLINICAL,NLM,9119045,5R01LM011945-03,5,R01,LM,11945,3,,,8050089,"LI, LANG  ","ROCHA, LUIS M.;SHATKAY, HAGIT ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,397279,
LONG NONCODING RNAS IN ALCOHOLIC LIVER DISEASE,NIAAA,9110485,1R21AA024935-01,1,R21,AA,24935,1,,,8129443,"LIANGPUNSAKUL, SUTHAT  ","WANG, LI ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,241441,
NOVEL BIOMARKERS AS A CLINICAL TOOL FOR EXCESSIVE ALCOHOL USE SCREENING,NIAAA,9170557,1R01AA025208-01,1,R01,AA,25208,1,,,8129443,"LIANGPUNSAKUL, SUTHAT  ","TU, WANZHU ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,342183,
SESTRIN3 IN THE PATHOGENESIS OF ALCOHOLIC AND NON-ALCOHOLIC FATTY LIVER DISEASE,NIDDK,9188590,1R01DK107682-01A1,1,R01,DK,107682,1,A1,,8129443,"LIANGPUNSAKUL, SUTHAT  ","DONG, X CHARLIE",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,345956,
GLOBAL NETWORK FOR WOMEN'S AND CHILDREN'S HEALTH RESEARCH,NICHD,9063169,4U10HD076461-04,4,U10,HD,76461,4,,,1896380,"LIECHTY, EDWARD A.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,792951,
OBESITY INDUCED CYTOKINES AND BETA CELL MASS REGULATION,NIDDK,9381285,7K01DK102492-03,7,K01,DK,102492,3,,,9928798,"LINNEMANN, AMELIA K",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,81085,
NEW INSIGHTS INTO THE OCULAR SURFACE IN HEALTH AND DISEASE,NEI,9135400,5R01EY023680-02,5,R01,EY,23680,2,,,2878366,"LIU, CHIA-YANG ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,425756,
SECONDARY ANALYSIS AND RISK PREDICTION OF DENTAL CARIES AND ORAL CLEFTS,NIDCR,9341816,7R03DE024198-03,7,R03,DE,24198,3,,,8543889,"LIU, NIANJUN ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,234000,
HIGH-DIMENSIONAL STATISTICAL GENETIC METHODS FOR DENTAL CARIES AND OROFACIAL CLEFTS,NIDCR,9180245,1R03DE025646-01A1,1,R03,DE,25646,1,A1,,8543889,"LIU, NIANJUN ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,234000,
COMPUTATIONAL TOOLS FOR TOP DOWN MASS SPECTROMETRY BASED PROTEOFORM IDENTIFICATION AND PROTEOGENOMICS,NIGMS,9079738,1R01GM118470-01,1,R01,GM,118470,1,,,11557463,"LIU, XIAOWEN  ","LIU, YUNLONG ",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,299451,
REGULATION OF MRNA SPLICING BY INTRONIC GENETIC VARIANTS,NCI,9071997,1R01CA213466-01,1,R01,CA,213466,1,,,8636465,"LIU, YUNLONG  ","SKAAR, TODD C.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,576262,
INDIANA UNIVERSITY MELVIN AND BREN SIMON CANCER CENTER SUPPORT GRANT,NCI,9337553,3P30CA082709-17S6,3,P30,CA,82709,17,S6,,2189007,"LOEHRER, PATRICK J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,200320,
INDIANA UNIVERSITY MELVIN AND BREN SIMON CANCER CENTER SUPPORT GRANT,NCI,9335018,3P30CA082709-17S5,3,P30,CA,82709,17,S5,,2189007,"LOEHRER, PATRICK J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,249947,
INDIANA UNIVERSITY MELVIN AND BREN SIMON CANCER CENTER SUPPORT GRANT,NCI,9304510,3P30CA082709-17S4,3,P30,CA,82709,17,S4,,2189007,"LOEHRER, PATRICK J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,143694,
INDIANA UNIVERSITY MELVIN AND BREN SIMON CANCER CENTER SUPPORT GRANT,NCI,9304509,3P30CA082709-17S3,3,P30,CA,82709,17,S3,,2189007,"LOEHRER, PATRICK J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,152900,
INDIANA UNIVERSITY MELVIN AND BREN SIMON CANCER CENTER SUPPORT GRANT,NCI,9304508,3P30CA082709-17S2,3,P30,CA,82709,17,S2,,2189007,"LOEHRER, PATRICK J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,174513,
INDIANA UNIVERSITY MELVIN AND BREN SIMON CANCER CENTER SUPPORT GRANT,NCI,9304507,3P30CA082709-17S1,3,P30,CA,82709,17,S1,,2189007,"LOEHRER, PATRICK J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,106993,
INDIANA UNIVERSITY MELVIN AND BREN SIMON CANCER CENTER SUPPORT GRANT,NCI,9129444,5P30CA082709-17,5,P30,CA,82709,17,,,2189007,"LOEHRER, PATRICK J.",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,2184000,
AMPATH-ONCOLOGY INSTITUTE: HPV AND CERVICAL CANCER IN KENYAN WOMEN WITH HIV/AIDS,NCI,9126509,5U54CA190151-03,5,U54,CA,190151,3,,,2189007,"LOEHRER, PATRICK J. ","BROWN, DARRON R;ORANGO, ELKANAH OMENGE",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,847699,
SEX DIFFERENCES IN STRESS-ALCOHOL INTERACTIONS MODULATING AMYGDALA ACTIVITY,NIAAA,9127795,5R00AA021802-04,5,R00,AA,21802,4,,,7016750,"LOGRIP, MARIAN LEE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,248999,
SONIC HEDGEHOG SIGNALING IN INNER EAR ORGANOID DEVELOPMENT,NIDCD,9258591,1F31DC015968-01,1,F31,DC,15968,1,,,12536983,"LONGWORTH-MILLS, EMMA ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,31882,
MOLECULAR AND GENETIC STUDIES OF NMNAT2 IN NEUROPROTECTION,NINDS,9132372,5R01NS086794-04,5,R01,NS,86794,4,,,6067037,"LU, HUI-CHEN ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,427201,
UBIQUITIN SPECIFIC PEPTIDASES AS REDOX SENSOR IN ONCOGENE-INDUCED P53 SIGNALING,NCI,9541115,7R21CA185742-03,7,R21,CA,185742,3,,,8135679,"LU, XIONGBIN ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,165285,
THE RATE AND MOLECULAR SPECTRUM OF SPONTANEOUS MUTATIONS,NIGMS,9132257,5R01GM036827-20,5,R01,GM,36827,20,,,1898380,"LYNCH, MICHAEL R",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,518573,
POPULATION GENOMICS OF DAPHNIA PULEX,NIGMS,9002059,4R01GM101672-04,4,R01,GM,101672,4,,,1898380,"LYNCH, MICHAEL R",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,555789,
CANNABINOID MODULATION OF CELL FUNCTION,NIDA,9031747,4K05DA021696-09,4,K05,DA,21696,9,,,1858934,"MACKIE, KENNETH P.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,139326,
ADOLESCENT THC; MICROGLIAL ACTIVATION; NEUROINFLAMMATION; AND THEIR LONG-TERM CONSEQUENCES,NIDA,9020965,5R21DA039463-02,5,R21,DA,39463,2,,,1858934,"MACKIE, KENNETH P.",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,231660,
14/22 DIABETES PREVENTION PROGRAM OUTCOMES STUDY (DPPOS) PHASE 3 ? RESEARCH PROJECT,NIDDK,9319867,3U01DK048406-23S2,3,U01,DK,48406,23,S2,,6953035,"MATHER, KIEREN J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,45240,
14/22 DIABETES PREVENTION PROGRAM OUTCOMES STUDY (DPPOS) PHASE 3 ? RESEARCH PROJECT,NIDDK,9281250,3U01DK048406-23S1,3,U01,DK,48406,23,S1,,6953035,"MATHER, KIEREN J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,30852,
14/22 DIABETES PREVENTION PROGRAM OUTCOMES STUDY (DPPOS) PHASE 3 ? RESEARCH PROJECT,NIDDK,9049621,2U01DK048406-23,2,U01,DK,48406,23,,,6953035,"MATHER, KIEREN J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,351000,
IDENTIFYING COMMUNICATIVE FACTORS AFFECTING OPIOID MANAGEMENT FOR CHRONIC PAIN,NIDA,9052162,5R21DA037384-02,5,R21,DA,37384,2,,,10043921,"MATTHIAS, MARIANNE  ","SHIELDS, CLEVELAND GEORGE",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,148323,
SOCIAL NETWORK DYNAMICS AND ORAL HEALTH DISPARITIES IN MEXICAN AMERICAN IMMIGRANTS,NIDCR,9081086,1R01DE025836-01,1,R01,DE,25836,1,,,8536925,"MAUPOME, GERARDO ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,707589,
REGULATION OF MDM2 ACTIVITY BY KINASE SIGNALING PATHWAYS,NCI,9242979,3R01CA172256-04S1,3,R01,CA,172256,4,S1,,6077562,"MAYO, LINDSEY D",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,74278,
REGULATION OF MDM2 ACTIVITY BY KINASE SIGNALING PATHWAYS,NCI,9050651,4R01CA172256-04,4,R01,CA,172256,4,,,6077562,"MAYO, LINDSEY D",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,323700,
CNS SITES FOR THE REWARDING ACTIONS OF ALCOHOL,NIAAA,9020182,4R01AA012262-14,4,R01,AA,12262,14,,,1891513,"MCBRIDE, WILLIAM J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,346500,
NEURONAL UNDERPINNINGS OF REPEATED DEPRIVATIONS ON CUE-INDUCED ALCOHOL-SEEKING,NIAAA,9061512,4R01AA022287-04,4,R01,AA,22287,4,,,1891513,"MCBRIDE, WILLIAM J",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,312000,
ASSESSING AND IMPROVING BONE QUALITY IN CHRONIC KIDNEY DISEASE,NIDDK,9182816,5F32DK108554-02,5,F32,DK,108554,2,,,12573057,"MCNERNY, ERIN MARGARET BRONTE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,56118,
SMALL-MOLECULE ANTAGONISTS OF RAL GTPASES IN CANCER,NCI,9106193,1R01CA197928-01A1,1,R01,CA,197928,1,A1,,9109829,"MEROUEH, SAMY ",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,602597,
DERIVATION AND DISEASE MODELING OF HUMAN STEM CELL-DERIVED RETINAL GANGLION CELLS,NEI,8975772,5R01EY024984-02,5,R01,EY,24984,2,,,9297551,"MEYER, JASON STEPHEN",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,354686,
MOLECULAR ANALYSIS OF THE AUTONOMOUS PATHWAY,NIGMS,9084844,3R01GM075060-09S1,3,R01,GM,75060,9,S1,,7927612,"MICHAELS, SCOTT ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,137934,
MOLECULAR ANALYSIS OF THE AUTONOMOUS PATHWAY,NIGMS,8998957,4R01GM075060-09,4,R01,GM,75060,9,,,7927612,"MICHAELS, SCOTT ",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,299535,
IMAGING STRUCTURE AND FUNCTION OF THE PHOTORECEPTOR-RPE-CHORIOCAPILLARIS COMPLEX,NEI,9176259,2R01EY018339-10,2,R01,EY,18339,10,,,8543629,"MILLER, DONALD T",Not Applicable,INDIANA UNIVERSITY BLOOMINGTON, ,2016,468691,
BUILDING UPON A TRADITION OF EXCELLENCE. THE NCTN AT INDIANA UNIVERSITY,NCI,9025760,5U10CA180795-03,5,U10,CA,180795,3,,,6407879,"MILLER, KATHY D",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,611729,
TRANSCRIPTIONAL AND TRANSLATIONAL MECHANISMS GOVERNING BETA CELL FUNCTION,NIDDK,9185007,2R01DK060581-14A1,2,R01,DK,60581,14,A1,,1922911,"MIRMIRA, RAGHAVENDRA G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,377524,
INDIANA DIABETES RESEARCH CENTER,NIDDK,9105735,5P30DK097512-02,5,P30,DK,97512,2,,,1922911,"MIRMIRA, RAGHAVENDRA G",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,935716,
VALIDATION OF SMALL MOLECULE 12-LIPOXYGENASE INHIBITORS IN METABOLIC DISEASE,NIDDK,9037661,5R01DK105588-02,5,R01,DK,105588,2,,,1922911,"MIRMIRA, RAGHAVENDRA G ","NADLER, JERRY L.",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2016,451139,
